id;ulx;uly;lrx;lry;measure_count;comment
1;16391;99642;89891;87022;31895;Forward approach Auto
2;46764;28126;43693;31497;83495;vortals
3;92170;82585;63814;86292;19134;Executive
4;11835;94136;80226;73827;5482;synthesizing compelling
5;78913;76105;29641;75927;28193;as Granite
6;11187;16475;73578;35228;42163;deposit
7;59817;79322;38117;2371;75384;Product Regional
8;62495;6522;92362;41016;36092;transition
9;18486;22812;85808;70477;14094;relationships Object-based
10;87830;4363;26457;46500;28326;Cotton optimal auxiliary
